Movie Title,Release Date,Wikipedia URL,Genre (1),Genre (2),Director (1),Director (2),Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ($),Box Office Revenue ($),weight,,,,,,,
Don't Breathe,2016-08-26,https://en.wikipedia.org/wiki/Don%2527t_Breathe_(2016_film),Thriller,,Fede Alvarez,,Dylan Minnette,Stephen Lang,Daniel Zovatto,,,"9,900,000.00","28,300,000.00",0.285858586,,,,,,,
Dr. Seuss' The Lorax,2012-03-02,https://en.wikipedia.org/wiki/The_Lorax_(film),Family,,Chris Renaud,,Danny DeVito,Zac Efron,Taylor Swift,Ed Helms,Rob Riggle,"70,000,000.00","348,800,000.00",0.498285714,,,,,,,
Dracula Untold,2014-10-10,https://en.wikipedia.org/wiki/Dracula_Untold,Drama,Horror,Gary Shore,,Luke Evans,Sarah Gadon,William Houston,Dominic Cooper,Samantha Barks,"70,000,000.00","217,100,000.00",0.310142857,,,,,,,
Draft Day,2014-04-07,https://en.wikipedia.org/wiki/Draft_Day,Drama,Sports,Ivan Reitman,,Kevin Costner,Jennifer Garner,Denis Leary,Frank Langella,Tom Welling,"25,000,000.00","29,500,000.00",0.118,,,,,,,
Dragon Blade,2015-02-18,https://en.wikipedia.org/wiki/Dragon_Blade_(film),Action,,Daniel Lee,,Jackie Chan,Choi Siwon,John Cusack,Adrien Brody,James Lee Guy,"65,000,000.00","120,000,000.00",0.184615385,,,,,,,
Dumb and Dumber To,2014-11-14,https://en.wikipedia.org/wiki/Dumb_and_Dumber_To,Comedy,,Peter Farrelly,Bobby Farrelly,Jim Carrey,Jeff Daniels,Kathleen Turner,Laurie Holden,,"50,000,000.00","169,800,000.00",0.3396,,,,,,,
Earth to Echo,2014-06-14,https://en.wikipedia.org/wiki/Earth_to_Echo,Sci-Fi,Family,Dave Green,,Astro,Teo Halm,Reese Hartwig,Ella Wahlestedt,,"13,000,000.00","45,300,000.00",0.348461538,,,,,,,
Eddie the Eagle,2016-02-26,https://en.wikipedia.org/wiki/Eddie_the_Eagle_(film),Drama,Comedy,Dexter Fletcher,,Taron Egerton,Christopher Walken,Hugh Jackman,,,"23,000,000.00","46,200,000.00",0.200869565,,,,,,,
Edge of Tomorrow,2014-05-28,https://en.wikipedia.org/wiki/Edge_of_Tomorrow_(film),Action,Sci-Fi,Doug Liman,,Tom Cruise,Emily Blunt,,,,"178,000,000.00","370,500,000.00",0.208146067,,,,,,,
Elysium,2013-08-09,https://en.wikipedia.org/wiki/Elysium_(film),Sci-Fi,,Neill Blomkamp,,Matt Damon,Jodie Foster,Sharlto Copley,Wagner Moura,Alice Braga,"115,000,000.00","286,100,000.00",0.248782609,,,,,,,
Embrace of the Serpent,2015-05-15,https://en.wikipedia.org/wiki/Embrace_of_the_Serpent,Adventure,Drama,Ciro Guerra,,Jan Bijvoet,Nilbio Torres,Antonio Bolívar,,,"1,400,000.00","2,800,000.00",0.2,,,,,,,
End of Watch,2012-09-21,https://en.wikipedia.org/wiki/End_of_Watch,Action,Drama,David Ayer,,Jake Gyllenhaal,Michael Peña,Anna Kendrick,Frank Grillo,America Ferrera,"7,000,000.00","48,100,000.00",0.687142857,,,,,,,
Enough Said,2013-09-20,https://en.wikipedia.org/wiki/Enough_Said_(film),Comedy,,Nicole Holofcener,,James Gandolfini,Julia Louis-Dreyfus,Toni Collette,Catherine Keener,Ben Falcone,"8,000,000.00","25,300,000.00",0.31625,,,,,,,
Entourage,2015-05-27,https://en.wikipedia.org/wiki/Entourage_(film),Comedy,,Doug Ellin,,Adrian Grenier,Kevin Connolly,Kevin Dillon,Jerry Ferrara,Jeremy Piven,"39,000,000.00","49,300,000.00",0.126410256,,,,,,,
